permco_1,permco_2,ssd,comnam_1,ticker_1,comnam_2,ticker_2
261,42396,0.2764904170792415,AMERICAN NATIONAL GROUP INC,ANAT,PENNS WOODS BANCORP INC,PWOD
4684,20994,0.2771689927026046,SENSIENT TECHNOLOGIES CORP,SXT,INTERNATIONAL PAPER CO,IP
2093,11106,0.2773955754752475,HUNTINGTON BANCSHARES INC,HBAN,B O K FINANCIAL CORP,BOKF
1425,14751,0.2813664516591009,FLOWSERVE CORP,FLS,CONNECTONE BANCORP INC NEW,CNOB
21299,21931,0.2882880821947308,EVERSOURCE ENERGY,ES,W E C ENERGY GROUP INC,WEC
9449,55567,0.2915101369682383,CENTRAL PACIFIC FINANCIAL CORP,CPF,MIDLAND STATES BANCORP INC,MSBI
43691,54702,0.2930346796586451,SAFETY INSURANCE GROUP INC,SAFT,ONE GAS INC,OGS
9002,51205,0.2932468578868222,AMERICAN VANGUARD CORP,AVD,I C F INTERNATIONAL INC NEW,ICFI
4163,42524,0.2961365468567346,TRUIST FINANCIAL CORP,TFC,PRUDENTIAL FINANCIAL INC,PRU
17669,34751,0.2970038264502513,BANK OF MARIN BANCORP,BMRC,INNOSPEC INC,IOSP
50700,52983,0.2976016981195434,MASTERCARD INC,MA,VISA INC,V
511,3418,0.3014013296086243,BLACK HILLS CORP,BKH,OTTER TAIL CORP,OTTR
11403,53187,0.3022541578308675,N B T BANCORP INC,NBTB,TERRITORIAL BANCORP INC,TBNK
8360,53972,0.303137675910568,F R P HOLDINGS INC,FRPH,POST HOLDINGS INC,POST
8889,16374,0.303191177903961,FIRST BANCORP P R,FBP,STERLING BANCORP DEL,STL
30913,55023,0.3040482725273158,WABTEC CORP,WAB,C D K GLOBAL INC,CDK
15385,55806,0.3074592775310215,WINTRUST FINANCIAL CORP,WTFC,HILTON GRAND VACATIONS INC,HGV
20890,21890,0.3078482128465107,HAWAIIAN ELECTRIC INDUSTRIES INC,HE,AVISTA CORP,AVA
8786,20331,0.3086527136083846,CERNER CORP,CERN,BRISTOL MYERS SQUIBB CO,BMY
14795,46273,0.3104031341627541,OCEANFIRST FINANCIAL CORP,OCFC,ENTERPRISE FINANCIAL SVCS CORP,EFSC
21305,41159,0.3124099661432721,WELLS FARGO & CO NEW,WFC,HANMI FINANCIAL CORP,HAFC
56362,56488,0.3125014336239582,FIRST CHOICE BANCORP,FCBP,P C B BANCORP,PCB
6137,20997,0.3129873578258674,RAYMOND JAMES FINANCIAL INC,RJF,INTERPUBLIC GROUP COS INC,IPG
90,54396,0.3132450059045216,AMERICAN EXPRESS CO,AXP,VOYA FINANCIAL INC,VOYA
10110,20392,0.3146869165592931,TRIMAS CORP,TRS,CARLISLE COMPANIES,CSL
31386,53405,0.3186594684195741,HARTFORD FINANCIAL SVCS GRP INC,HIG,DOUGLAS DYNAMICS INC,PLOW
45993,53882,0.3193036448757546,AMES NATL CORP,ATLO,FARMERS NATIONAL BANC CORP,FMNB
21401,52684,0.3196645642451396,CONOCOPHILLIPS,COP,CONCHO RESOURCES INC,CXO
20217,31946,0.3204750373647538,ARROW ELECTRONICS INC,ARW,AUTOLIV INC,ALV
20077,21409,0.3208450953967174,AMERICAN ELECTRIC POWER CO INC,AEP,PINNACLE WEST CAPITAL CORP,PNW
21351,46156,0.3212822710376832,P P G INDUSTRIES INC,PPG,HUNTSMAN CORP,HUN
50731,55085,0.3228039679284031,FIRST BANCSHARES INC MS,FBMS,VERITEX HOLDINGS INC,VBTX
8766,43147,0.3256724086985744,WSFS FINANCIAL CORP,WSFS,PINNACLE FINANCIAL PARTNERS INC,PNFP
1741,30513,0.3265456303169205,FIFTH THIRD BANCORP,FITB,CAPITAL ONE FINANCIAL CORP,COF
15783,53256,0.3290717978617801,CASELLA WASTE SYSTEMS INC,CWST,VERISK ANALYTICS INC,VRSK
3306,21637,0.3313554485790241,NORTHWEST NATURAL HOLDING CO,NWN,SOUTH JERSEY INDS INC,SJI
55451,56754,0.3329436351434003,ALLEGIANCE BANCSHARES INC,ABTX,SOUTH PLAINS FINANCIAL INC,SPFI
20773,53368,0.3330470393704422,G A T X CORP,GATX,FIRST INTERSTATE BANCSYSTEM INC,FIBK
7301,14175,0.3333276917474088,MCGRATH RENTCORP,MGRC,NORTHWEST PIPE CO,NWPX
5057,9882,0.3348361697044706,ZIONS BANCORPORATION N A,ZION,T C F FINANCIAL CORP NEW,TCF
7784,11479,0.3352768834150054,CADENCE BANK,CADE,RENASANT CORP,RNST
4350,6748,0.3365654134082965,AMERICAN STATES WATER CO,AWR,ATMOS ENERGY CORP,ATO
56301,56739,0.3399511428833976,O P BANCORP,OPBK,FRANKLIN FINANCIAL SERVICES CORP,FRAF
540,44893,0.3401057998700222,BERKSHIRE HATHAWAY INC DEL,BRK,ASSURANT INC,AIZ
727,20883,0.3415369667298291,CACI INTERNATIONAL INC,CACI,L3HARRIS TECHNOLOGIES INC,LHX
21158,41673,0.343428753682635,MARSH & MCLENNAN COS INC,MMC,FIDELITY NATIONAL INFO SVCS INC,FIS
469,20643,0.3452026481681775,ROBERT HALF INC,RHI,EMERSON ELECTRIC CO,EMR
15926,46844,0.3455421425311242,C & F FINANCIAL CORP,CFFI,BANKFINACIAL CORP,BFIN
53141,53976,0.3461588238919243,ORRSTOWN FINANCIAL SERVICES INC,ORRF,BANK OF JAMES FINL GROUP INC,BOTJ
41815,56630,0.346923846845123,EVANS BANCORP INC,EVBN,RHINEBECK BANCORP INC,RBKB
56778,56793,0.3479863488046004,CHURCHILL CAPITAL CORP II,CCX,A R K O CORP,ARKO
5908,12848,0.3488494610306609,FIRST MIDWEST BANCORP INC,FMBI,BOSTON PRIVATE FINL HLDGS INC,BPFH
56091,56293,0.3545325019193561,CAMBRIDGE BANCORP,CATC,BRIDGEWATER BANCSHARES INC,BWB
5242,6333,0.3554396348754425,GENTEX CORP,GNTX,PAYCHEX INC,PAYX
16026,56705,0.3559660149713333,BROOKLINE BANCORP INC,BRKL,MAINSTREET BANCSHARES INC,MNSB
3911,20968,0.3561021362888139,R P M INTERNATIONAL INC,RPM,ILLINOIS TOOL WORKS INC,ITW
41671,55807,0.356295947530723,BREAD FINANCIAL HOLDINGS INC,BFH,PARK HOTELS & RESORTS INC,PK
21201,21396,0.3580320194249819,ENTERGY CORP NEW,ETR,EXELON CORP,EXC
20370,21294,0.3606749600280511,C S X CORP,CSX,NORFOLK SOUTHERN CORP,NSC
9147,31896,0.3615163873832394,WESBANCO INC,WSBC,SOUTHSTATE CORP,SSB
14157,42541,0.3615257142902525,FLUSHING FINANCIAL CORP,FFIC,1ST CONSTITUTION BANCORP,FCCY
20043,21111,0.36154823328057,ALLEGHANY CORP DE,Y,LOEWS CORP,L
17469,52863,0.3621356125565313,NATIONAL BANKSHARES INC,NKSH,NORTHFIELD BANCORP INC DE,NFBK
16454,20964,0.3654235071173863,BOOKING HOLDINGS INC,BKNG,I T T INC,ITT
17667,43260,0.3661844516224959,FAUQUIER BANKSHARES INC,FBSS,SEVERN BANCORP INC MD,SVBI
36336,54837,0.3676438482984784,BLACKROCK INC NEW,BLK,ARES MANAGEMENT CORP,ARES
41564,54376,0.3687364999897861,UNITED SECURITY BANKSHARES,UBFO,HEMISPHERE MEDIA GROUP INC,HMTV
46112,56521,0.3692143647237782,SUMMIT FINANCIAL GROUP INC,SMMF,FVCBANKCORP INC,FVCB
54180,55587,0.3692649454515569,NATIONAL BANK HOLDINGS CORP,NBHC,HARBORONE BANCORP INC NEW,HONE
21795,54222,0.3695677986887297,MARATHON OIL CORP,MRO,DIAMONDBACK ENERGY INC,FANG
11621,12583,0.3701696293727742,ENCORE WIRE CORP,WIRE,VIAVI SOLUTIONS INC,VIAV
4040,13304,0.3724892453675249,S E I INVESTMENTS CO,SEIC,SIRIUS X M HOLDINGS INC NEW,SIRI
13187,56701,0.3730757560301098,H M N FINANCIAL INC,HMNF,FIRST NATIONAL CORP VA,FXNC
46272,49991,0.3739314704916474,ENTERPRISE BANCORP INC,EBTC,B C B BANCORP INC,BCBP
4655,21764,0.3751996092760136,UNIVERSAL HEALTH SERVICES INC,UHS,GLOBE LIFE INC,GL
7407,53628,0.3759135173650415,AMERISERV FINANCIAL INC,ASRV,HOME FEDERAL BANCORP INC LA,HFBL
16035,45295,0.376346302068159,UMPQUA HOLDINGS CORP,UMPQ,BANK OF COMMERCE HOLDINGS,BOCH
2488,20531,0.377476357162641,KAMAN CORP,KAMN,CRANE N X T CO,CXT
40193,52845,0.3791197936675595,AMERICAN RIVER BANKSHARES,AMRB,KENNEDY WILSON HOLDINGS INC,KW
4298,11592,0.3798984251781441,STRYKER CORP,SYK,STARBUCKS CORP,SBUX
43449,55968,0.381244702953411,BANC OF CALIFORNIA INC,BANC,BYLINE BANCORP INC,BY
4516,8508,0.3819917944168684,TORO CO,TTC,WATTS WATER TECHNOLOGIES INC,WTS
52773,56029,0.3830531925838075,FIRST FINANCIAL NORTHWEST INC,FFNW,PRINCETON BANCORP INC,BPRN
21255,32004,0.383836080885779,NATIONAL FUEL GAS CO N J,NFG,MAXIMUS INC,MMS
4234,29347,0.3843216527616978,SELECTIVE INSURANCE GROUP INC,SIGI,HORACE MANN EDUCATORS CORP NEW,HMN
16300,53026,0.3854268211440204,C N B FINANCIAL CORP PA,CCNE,MALVERN BANCORP INC,MLVF
840,55035,0.3855461553626471,CULLEN FROST BANKERS INC,CFR,KIMBALL ELECTRONICS INC,KE
15921,41979,0.386710494367753,TIMBERLAND BANCORP INC,TSBK,MACKINAC FINANCIAL CORP,MFNC
20574,21458,0.3871934669831078,D T E ENERGY CO,DTE,PUBLIC SERVICE ENTERPRISE GP INC,PEG
53374,54401,0.3875690724465769,S S & C TECHNOLOGIES HLDGS INC,SSNC,IQVIA HOLDINGS INC,IQV
20698,21545,0.3880763930861014,FEDERAL SIGNAL CORP,FSS,S J W GROUP,SJW
32093,55119,0.3887729111480351,YUM BRANDS INC,YUM,PRA HEALTH SCIENCES INC,PRAH
7871,12139,0.3907400938745815,COMMUNITY FINANCIAL SYSTEM INC,CBU,GERMAN AMERICAN BANCORP INC,GABC
4260,7765,0.3907716500615407,STATE STREET CORP,STT,OSHKOSH CORP,OSK
13302,55394,0.3915730921762392,WILLAMETTE VALLEY VINYDS INC,WVVI,HOSTESS BRANDS INC,TWNK
7980,53383,0.394542724610906,PLEXUS CORP,PLXS,PRIMERICA INC,PRI
8228,55935,0.39546787464053,TOMPKINS FINANCIAL CORP,TMP,FARMERS & MERCHANTS BANCORP INC,FMAO
29610,45380,0.3984462487267393,MINERALS TECHNOLOGIES INC,MTX,ENERSYS,ENS
21794,41062,0.3992913103886171,U G I CORP NEW,UGI,RESOURCES CONNECTION INC,RGP
12994,45559,0.3998857514256882,SOUTHERN MISSOURI BANCORP INC,SMBC,SOUTHERN FIRST BANCSHARES INC,SFST
1908,9616,0.4011040804764607,GRAY TELEVISION INC,GTN,CLEAN HARBORS INC,CLH
9677,20270,0.4042836093340261,INTERPARFUMS INC,IPAR,BARNES GROUP INC,B
11559,21095,0.4052342774335348,D R HORTON INC,DHI,LENNAR CORP,LEN
12843,21206,0.4056639926733523,DAKTRONICS INC,DAKT,ALLETE INC,ALE
9438,44497,0.4073982787201062,NORTHEAST BANK,NBN,L K Q CORP,LKQ
34846,43689,0.4089364144961813,HERITAGE COMMERCE CORP,HTBK,PARKE BANCORP INC,PKBK
21949,54574,0.4089851511034986,T J X COMPANIES INC NEW,TJX,BURLINGTON STORES INC,BURL
20684,52985,0.4093441510176944,NEXTERA ENERGY INC,NEE,AMERICAN WATER WORKS CO INC,AWK
37718,56366,0.4103601328163682,PACWEST BANCORP DE,PACW,SPIRIT OF TEXAS BANCSHARES INC,STXB
8702,16614,0.4145793229086564,HEARTLAND EXPRESS INC,HTLD,JUNIPER NETWORKS INC,JNPR
56379,56740,0.4159969873364767,LOTTERY COM INC,LTRY,CELULARITY INC,CELU
8340,30898,0.4161577650241285,SKYWEST INC,SKYW,HAWAIIAN HOLDINGS INC,HA
3348,20288,0.4165262935269393,OIL DRI CORP OF AMERICA,ODC,VERIZON COMMUNICATIONS INC,VZ
21328,32101,0.4170188383142953,O G E ENERGY CORP,OGE,CAMDEN NATIONAL CORP,CAC
44506,56662,0.4210711914752418,CARTERS INC,CRI,FOX CORP,FOXA
2572,16402,0.4215210994620215,KORN FERRY,KFY,EAST WEST BANCORP INC,EWBC
54959,56481,0.421627987909792,INVESTAR HOLDING CORP,ISTR,AMALGAMATED FINANCIAL CORP,AMAL
475,6827,0.4217139237778101,POPULAR INC,BPOP,SEACOAST BANKING CORP FLA,SBCF
9213,31854,0.4224777285952044,UNITED BANKSHARES INC,UBSI,INTERNATIONAL BANCSHARES CORP,IBOC
20750,21662,0.4227118887824304,FORD MOTOR CO DEL,F,STANDEX INTERNATIONAL CORP,SXI
46024,56834,0.4250923602357109,LAS VEGAS SANDS CORP,LVS,RICHMOND MUTUAL BANCORP INC,RMBI
21057,22113,0.4267372596979438,KIRBY CORP,KEX,EOG RESOURCES INC,EOG
20265,54752,0.4279885483191603,BANK OF NEW YORK MELLON CORP,BK,KNOWLES CORP,KN
47880,53847,0.4327178987228662,INVESTORS BANCORP INC NEW,ISBC,I F BANCORP INC,IROQ
8598,29870,0.4327706677226628,FISERV INC,FI,ALLSTATE CORP,ALL
20468,56517,0.4343978416335656,COCA COLA CO,KO,C B M BANCORP INC,CBMB
20408,27454,0.4345171039173185,CATERPILLAR INC,CAT,LINCOLN ELECTRIC HOLDINGS INC,LECO
54858,56364,0.434805412659837,BANKWELL FINANCIAL GROUP INC,BWFG,BAYCOM CORP,BCML
35222,53947,0.4358700569290376,DEVON ENERGY CORP NEW,DVN,W P X ENERGY INC,WPX
3326,55842,0.438330733780397,OCEANEERING INTERNATIONAL INC,OII,NEXTIER OILFIELD SOLUTIONS INC,NEX
36380,54544,0.438942741590643,TELEDYNE TECHNOLOGIES,TDY,SCIENCE APPLICATIONS INTL CORP,SAIC
15940,21018,0.4401809399047067,VERISIGN INC,VRSN,JOHNSON & JOHNSON,JNJ
1344,28392,0.4405601665848422,DONALDSON INC,DCI,FEDERAL AGRICULTURAL MORT CORP,AGM
3305,45417,0.4475819008079249,NATIONAL WESTERN LIFE GROUP INC,NWLI,BLACKBAUD INC,BLKB
47877,55987,0.4478230213425291,FIRST BUSINESS FINL SVCS INC,FBIZ,ESQUIRE FINANCIAL HOLDINGS,ESQ
21645,31714,0.4482468928772187,A T & T INC,T,M M A CAPITAL HOLDINGS INC,MMAC
2130,20315,0.4491186115622582,HEXCEL CORP NEW,HXL,BOEING CO,BA
12553,13114,0.449814648719107,U F P INDUSTRIES INC,UFPI,SIMPSON MANUFACTURING CO INC,SSD
3526,54846,0.4501965934315852,P D C ENERGY INC,PDCE,PARSLEY ENERGY INC,PE
20945,22807,0.4518056362619274,HUBBELL INC,HUBB,MUELLER INDUSTRIES INC,MLI
3200,55402,0.4525781896038245,NEW JERSEY RES,NJR,MADISON SQUARE GARD SPORTS CORP,MSGS
3309,21430,0.4555397224287079,NORTHWESTERN ENERGY GROUP INC,NWE,PORTLAND GENERAL ELECTRIC CO,POR
20610,46282,0.4559290912906975,MOODYS CORP,MCO,NASDAQ INC,NDAQ
20483,46284,0.4580091286226203,CITIGROUP INC,C,PREFERRED BANK LOS ANGELES,PFBC
37496,55954,0.4598293361246698,N R G ENERGY INC,NRG,VISTRA CORP,VST
12108,15454,0.4619678073790734,JABIL INC,JBL,FLAGSTAR BANCORP INC,FBC
12086,56518,0.4630039638494792,TRICO BANCSHARES,TCBK,CAPITAL BANCORP INC,CBNK
43845,56340,0.4648875970523392,FIRST COMMUNITY CORP SC,FCCO,LEVEL ONE BANCORP INC,LEVL
12025,16470,0.4689337913183422,ALAMO GROUP INC,ALG,DIAMOND HILL INVESTMENT GRP INC,DHIL
10561,32122,0.4690570041619142,GRANITE CONSTRUCTION INC,GVA,STONERIDGE INC,SRI
9058,12289,0.4701200205637543,O F G BANCORP,OFG,PREMIER FINANCIAL CORP,PFC
31779,51433,0.4731325817605404,TRIUMPH GROUP INC NEW,TGI,SPIRIT AEROSYSTEMS HOLDINGS INC,SPR
4620,5926,0.4757765179809344,TYSON FOODS INC,TSN,TRUSTCO BANK CORP NY,TRST
15171,46091,0.4785018824802295,STEEL DYNAMICS INC,STLD,CELANESE CORP DEL,CE
12525,15147,0.4797724020493412,FIRST FINANCIAL BANKSHARES INC,FFIN,EPLUS INC,PLUS
3275,15739,0.4799365405766029,NORTHERN TRUST CORP,NTRS,O S I SYSTEMS INC,OSIS
10867,21376,0.4807073461802483,VIDLER WATER RESOURCES INC,VWTR,P P L CORP,PPL
9550,55319,0.4823475309512503,ALBANY INTERNATIONAL CORP NEW,AIN,ALTABANCORP,ALTA
12503,44995,0.4845691464084444,RIVERVIEW BANCORP INC,RVSB,COMMUNITY WEST BANCSHARES NEW,CWBC
8677,13695,0.4846653150677744,BANK SOUTH CAROLINA CORP,BKSC,CBIZ INC,CBZ
32039,55670,0.4847563726621882,JONES LANG LASALLE INC,JLL,FIRST HAWAIIAN INC,FHB
13240,16115,0.4853562379436897,MILLER INDUSTRIES INC TENN,MLR,GUARANTY BANCSHARES INC,GNTY
2498,21551,0.4853669658527968,KIMBALL INTERNATIONAL INC,KBAL,SAFEGUARD SCIENTIFICS INC,SFE
21722,29494,0.4854588696356504,A T I INC,ATI,KOHLS CORP,KSS
50830,51445,0.4871969299785703,COMMUNITY BANKERS TRUST CORP,ESXB,CITIZENS CMNTY BANCORP INC MD,CZWI
20374,20699,0.4875521792175199,CABOT CORP,CBT,FERRO CORP,FOE
32132,50861,0.4879642945946143,CHOICE HOTELS INTERNATIONAL INC,CHH,HOME BANCSHARES INC,HOMB
20990,21110,0.4885597212426695,INTERNATIONAL BUSINESS MACHS COR,IBM,LOCKHEED MARTIN CORP,LMT
11522,43159,0.490973175612632,UNIVERSAL DISPLAY CORP,OLED,ENPRO INC,NPO
1688,31196,0.4914564764676054,FRANKLIN ELECTRIC INC,FELE,LAUDER ESTEE COS INC,EL
21205,56557,0.492557422944566,3M CO,MMM,BANK FIRST CORP,BFC
52388,55335,0.4954938009178855,BLACKSTONE INC,BX,TRANSUNION,TRU
15450,42533,0.4972320928834198,CODORUS VALLEY BANCORP INC,CVLY,WESTERN NEW ENGLAND BANCORP INC,WNEB
12577,54001,0.4988886850338225,FORWARD AIR CORP,FWRD,HOMESTREET INC,HMST
7902,17322,0.4989095694400647,MONSTER BEVERAGE CORP NEW,MNST,CHARTER COMMUNICATIONS INC NEW,CHTR
46444,53624,0.5001427675174573,PRUDENTIAL BANCORP INC NEW,PBIP,A C N B CORP,ACNB
14268,15190,0.5005465012921588,EMCOR GROUP INC,EME,FORRESTER RESEARCH INC,FORR
13210,29863,0.5009860466749185,MATTHEWS INTERNATIONAL CORP,MATW,REINSURANCE GROUP OF AMERICA INC,RGA
20398,55040,0.5028537436660913,CARPENTER TECHNOLOGY CORP,CRS,B G S F INC,BGSF
7850,11709,0.5030279552576192,C N O FINANCIAL GROUP INC,CNO,LITTELFUSE INC,LFUS
10905,21080,0.5042568368892113,FIRSTCASH HOLDINGS INC,FCFS,SPIRE INC,SR
6944,16313,0.5051569035665129,GLACIER BANCORP INC NEW,GBCI,PROSPERITY BANCSHARES INC,PB
31847,51962,0.505955409125874,ROCKWELL AUTOMATION INC,ROK,BROADRIDGE FINANCIAL SOLUTNS INC,BR
9010,20440,0.5101319321818071,PHOTRONICS INC,PLAB,CHEVRON CORP NEW,CVX
43149,53402,0.5115762561836366,VERINT SYSTEMS INC,VRNT,EAGLE BANCORP MONTANA INC,EBMT
9141,56153,0.5130280477584706,FIRST BANCORP NC,FBNC,STELLAR BANCORP INC,STEL
2600,21446,0.5137771800382739,LANCASTER COLONY CORP,LANC,PROCTER & GAMBLE CO,PG
37716,54584,0.5142724407055488,HAWTHORN BANCSHARES INC,HWBK,MARCUS & MILLICHAP INC,MMI
12097,29009,0.5198165412309319,O REILLY AUTOMOTIVE INC NEW,ORLY,AUTOZONE INC,AZO
47887,55887,0.5230236748915171,WATERSTONE FINANCIAL INC NEW,WSBF,I C C HOLDINGS INC,ICCH
7019,50862,0.5235401590626969,U S ECOLOGY INC NEW,ECOL,HOUSTON WIRE & CABLE CO,HWCC
